Date,Return
10/31/2025,0.0009
10/30/2025,0.0026
10/29/2025,0.0036
10/28/2025,-0.0004
10/27/2025,0.0026
10/24/2025,0.014199999999999999
10/23/2025,-0.0049
10/22/2025,0.0052
10/21/2025,0.0040999999999999995
10/20/2025,0.0101
10/17/2025,-0.0183
10/16/2025,0.006
10/15/2025,-0.003
10/14/2025,-0.0011
10/13/2025,0.0033
10/10/2025,-0.013000000000000001
10/09/2025,-0.0088
10/08/2025,0.0091
10/07/2025,0.0054
10/06/2025,-0.0046
10/03/2025,0.0023
10/02/2025,0.0034999999999999996
10/01/2025,0.0034999999999999996
09/30/2025,0.0158
09/29/2025,-0.0043
09/26/2025,0.0039000000000000003
09/25/2025,0.0031
09/24/2025,0.0038
09/23/2025,0.022400000000000003
09/22/2025,-0.0051
09/19/2025,-0.0032
09/18/2025,-0.005600000000000001
09/17/2025,0.0003
09/16/2025,-0.016
09/15/2025,0.0022
09/12/2025,-0.0012
09/11/2025,-0.0002
09/10/2025,0.0024
09/09/2025,0.0015
09/08/2025,0.0085
09/05/2025,0.0054
09/04/2025,-0.0046
09/03/2025,0.0137
09/02/2025,-0.0158
09/01/2025,0.0038
08/29/2025,-0.0085
08/28/2025,0.004
08/27/2025,-0.0208
08/26/2025,-0.0101
08/25/2025,-0.0023
08/22/2025,0.0054
08/21/2025,-0.0018
08/20/2025,-0.0163
08/19/2025,0.0116
08/18/2025,-0.0046
08/15/2025,0.005699999999999999
08/14/2025,0.0103
08/13/2025,0.009000000000000001
08/12/2025,0.0075
08/11/2025,-0.0062
08/08/2025,0.0014000000000000002
08/07/2025,0.0095
08/06/2025,0.0074
08/05/2025,0.0025
08/04/2025,0.0134
08/01/2025,-0.0274
07/31/2025,-0.006500000000000001
07/30/2025,-0.012199999999999999
07/29/2025,0.0003
07/28/2025,0.0033
07/25/2025,0.0003
07/24/2025,0.013500000000000002
07/23/2025,0.0131
07/22/2025,-0.0011
07/21/2025,0.013300000000000001
07/18/2025,-0.0096
07/17/2025,0.009300000000000001
07/16/2025,-0.0102
07/15/2025,0.0006
07/14/2025,-0.009899999999999999
07/11/2025,-0.009899999999999999
07/10/2025,0.0002
07/09/2025,-0.0002
07/08/2025,0.0038
07/07/2025,0.0105
07/04/2025,-0.0033
07/03/2025,-0.0002
07/02/2025,0.0024
07/01/2025,-0.0077
06/30/2025,0.0021
06/27/2025,0.012
06/26/2025,0.0049
06/25/2025,-0.0076
06/24/2025,0.019
06/23/2025,-0.0088
06/20/2025,0.0008
06/19/2025,-0.0196
06/18/2025,0.005
06/17/2025,-0.018500000000000003
06/16/2025,0.0086
06/13/2025,-0.0158
06/12/2025,-0.0066
06/11/2025,-0.0002
06/10/2025,0.005699999999999999
06/09/2025,0.0026
06/06/2025,0.0014000000000000002
06/05/2025,0.0207
06/04/2025,-0.0068000000000000005
06/03/2025,0.0017000000000000001
06/02/2025,0.0016
05/30/2025,-0.0055000000000000005
05/29/2025,0.0095
05/28/2025,-0.0043
05/27/2025,0.0048
05/26/2025,0.008199999999999999
05/23/2025,-0.005
05/22/2025,-0.0064
05/21/2025,0.0022
05/20/2025,0.015300000000000001
05/19/2025,0.011399999999999999
05/16/2025,-0.0044
05/15/2025,-0.0034999999999999996
05/14/2025,0.01
05/13/2025,-0.0043
05/12/2025,0.02
05/09/2025,0.0042
05/08/2025,0.0033
05/07/2025,0.0118
05/06/2025,-0.0002
05/02/2025,0.0294
04/30/2025,-0.0004
04/29/2025,0.016200000000000003
04/28/2025,0.006
04/25/2025,0.0019
04/24/2025,-0.013500000000000002
04/23/2025,0.0256
04/22/2025,0.004699999999999999
04/17/2025,-0.0175
04/16/2025,-0.0022
04/15/2025,0.0226
04/14/2025,0.0304
04/11/2025,0.0079
04/10/2025,0.019799999999999998
04/09/2025,-0.0276
04/08/2025,0.037200000000000004
04/07/2025,-0.0408
04/04/2025,-0.047
04/03/2025,-0.0182
04/02/2025,0.0015
04/01/2025,0.0163
03/31/2025,-0.0197
03/28/2025,-0.0154
03/27/2025,-0.0068000000000000005
03/26/2025,-0.0098
03/25/2025,0.0012
03/24/2025,-0.013000000000000001
03/21/2025,-0.0034000000000000002
03/20/2025,-0.0116
03/19/2025,-0.001
03/18/2025,0.004
03/17/2025,0.0054
03/14/2025,0.0168
03/13/2025,-0.0078000000000000005
03/12/2025,0.004
03/11/2025,-0.023799999999999998
03/10/2025,-0.0054
03/07/2025,-0.0068000000000000005
03/06/2025,0.009300000000000001
03/05/2025,0.034300000000000004
03/04/2025,-0.0236
03/03/2025,-0.0001
02/28/2025,0.0108
02/27/2025,0.0040999999999999995
02/26/2025,0.0044
02/25/2025,0.0052
02/24/2025,0.0097
02/21/2025,0.0304
02/20/2025,-0.0004
02/19/2025,-0.013999999999999999
02/18/2025,0.004
02/17/2025,0.0074
02/14/2025,-0.005
02/13/2025,0.005600000000000001
02/12/2025,0.0076
02/11/2025,0.006
02/10/2025,-0.0028000000000000004
02/07/2025,-0.0089
02/06/2025,0.0131
02/05/2025,0.0018
02/04/2025,0.011399999999999999
02/03/2025,-0.0158
01/31/2025,-0.0104
01/30/2025,0.0079
01/29/2025,-0.0024
01/28/2025,0.008
01/27/2025,0.0067
01/24/2025,0.0040999999999999995
01/23/2025,0.0154
01/22/2025,-0.0013
01/21/2025,0.0158
01/20/2025,0.009300000000000001
01/17/2025,0.0092
01/16/2025,-0.0036
01/15/2025,0.0023
01/14/2025,0.0087
01/13/2025,-0.0097
01/10/2025,-0.0092
01/09/2025,-0.0009
01/08/2025,-0.0063
01/07/2025,0.006999999999999999
01/06/2025,0.0045000000000000005
01/03/2025,-0.008199999999999999
01/02/2025,-0.0012
12/31/2024,0.004
12/30/2024,0.0019
12/27/2024,-0.0012
12/24/2024,0.0045000000000000005
12/23/2024,-0.0018
12/20/2024,-0.0018
12/19/2024,-0.0026
12/18/2024,0.004
12/17/2024,-0.0017000000000000001
12/16/2024,-0.012199999999999999
12/13/2024,0.0001
12/12/2024,0.0046
12/11/2024,0.0029
12/10/2024,0.0066
12/09/2024,0.0027
12/06/2024,-0.0139
12/05/2024,0.0060999999999999995
12/04/2024,0.0026
12/03/2024,0.009899999999999999
12/02/2024,0.001
11/29/2024,0.0108
11/28/2024,0.005600000000000001
11/27/2024,-0.016
11/26/2024,-0.003
11/25/2024,0.0023
11/22/2024,0.0018
11/21/2024,-0.0044
11/20/2024,0.0025
11/19/2024,-0.0098
11/18/2024,-0.0004
11/15/2024,-0.0098
11/14/2024,0.0121
11/13/2024,-0.0103
11/12/2024,-0.012199999999999999
11/11/2024,0.0115
11/08/2024,-0.0079
11/07/2024,0.0098
11/06/2024,-0.015600000000000001
11/05/2024,0.0132
11/04/2024,-0.0049
11/01/2024,0.023
10/31/2024,-0.0044
10/30/2024,-0.0078000000000000005
10/29/2024,-0.0079
10/28/2024,0.0070999999999999995
10/25/2024,-0.0021
10/24/2024,0.0
10/23/2024,-0.0052
10/22/2024,0.0007000000000000001
10/21/2024,-0.0042
10/18/2024,0.0024
10/17/2024,0.0033
10/16/2024,-0.0031
10/15/2024,0.0049
10/14/2024,0.0063
10/11/2024,0.0033
10/10/2024,-0.0087
10/09/2024,0.0103
10/08/2024,0.0059
10/07/2024,0.0024
10/04/2024,0.0105
10/03/2024,-0.0084
10/02/2024,-0.005600000000000001
10/01/2024,-0.025699999999999997
09/30/2024,-0.0208
09/27/2024,-0.011399999999999999
09/26/2024,0.015700000000000002
09/25/2024,0.0097
09/24/2024,0.0048
09/23/2024,-0.0046
09/20/2024,-0.0031
09/19/2024,0.0216
09/18/2024,-0.0055000000000000005
09/17/2024,0.018600000000000002
09/16/2024,-0.0009
09/13/2024,0.005600000000000001
09/12/2024,0.0009
09/11/2024,-0.0091
09/10/2024,0.0042
09/09/2024,0.0087
09/06/2024,-0.0106
09/05/2024,0.003
09/04/2024,-0.0074
09/03/2024,-0.009899999999999999
09/02/2024,0.0034999999999999996
08/30/2024,0.0076
08/29/2024,0.0034000000000000002
08/28/2024,-0.0007000000000000001
08/27/2024,0.005
08/26/2024,0.0076
08/23/2024,0.008199999999999999
08/22/2024,-0.0027
08/21/2024,0.0034999999999999996
08/20/2024,-0.008199999999999999
08/19/2024,0.0037
08/16/2024,-0.001
08/15/2024,0.0154
08/14/2024,-0.0039000000000000003
08/13/2024,0.0042
08/12/2024,-0.0011
08/09/2024,0.0118
08/08/2024,0.0002
08/07/2024,0.013500000000000002
08/06/2024,0.0006
08/05/2024,-0.0124
08/02/2024,-0.0246
08/01/2024,-0.0183
07/31/2024,0.005600000000000001
07/30/2024,0.0088
07/29/2024,-0.0006
07/26/2024,0.0159
07/25/2024,0.0046
07/24/2024,-0.006
07/23/2024,0.0042
07/22/2024,-0.0346
07/19/2024,-0.0069
07/18/2024,0.0014000000000000002
07/17/2024,-0.0052
07/16/2024,0.0069
07/15/2024,-0.0029
07/12/2024,-0.0004
07/11/2024,0.0084
07/10/2024,0.0068000000000000005
07/09/2024,-0.0031
07/08/2024,0.015300000000000001
07/05/2024,0.0027
07/04/2024,0.0063
07/03/2024,0.012199999999999999
07/02/2024,-0.0015
07/01/2024,0.0008
06/28/2024,-0.005
06/27/2024,-0.008100000000000001
06/26/2024,-0.0079
06/25/2024,0.0079
06/24/2024,0.0028000000000000004
06/21/2024,-0.0137
06/20/2024,-0.0040999999999999995
06/19/2024,0.0091
06/18/2024,0.0070999999999999995
06/17/2024,0.0048
06/14/2024,-0.0172
06/13/2024,-0.013500000000000002
06/12/2024,0.0108
06/11/2024,-0.014499999999999999
06/10/2024,-0.011899999999999999
06/07/2024,-0.0033
06/06/2024,-0.0073
06/05/2024,-0.0002
06/04/2024,-0.0095
06/03/2024,0.0097
05/31/2024,-0.0024
05/30/2024,0.0105
05/29/2024,-0.013300000000000001
05/28/2024,-0.0031
05/27/2024,-0.004699999999999999
05/24/2024,-0.0049
05/23/2024,0.0068000000000000005
05/22/2024,0.0070999999999999995
05/21/2024,-0.0002
05/20/2024,-0.0024
05/17/2024,-0.0016
05/16/2024,0.0013
05/15/2024,0.0019
05/14/2024,0.0024
05/13/2024,-0.0032
05/10/2024,0.0040999999999999995
05/09/2024,-0.02
05/08/2024,0.0054
05/07/2024,0.0027
05/06/2024,0.0
05/03/2024,0.0013
05/02/2024,0.015300000000000001
04/30/2024,-0.0037
04/29/2024,-0.0013
04/26/2024,0.0052
04/25/2024,-0.0049
04/24/2024,-0.0102
04/23/2024,0.0105
04/22/2024,0.0032
04/19/2024,-0.0011
04/18/2024,0.0115
04/17/2024,0.0051
04/16/2024,-0.0121
04/15/2024,0.0007000000000000001
04/12/2024,-0.0092
04/11/2024,-0.016
04/10/2024,0.0078000000000000005
04/09/2024,-0.0078000000000000005
04/08/2024,0.0096
04/05/2024,0.003
04/04/2024,-0.0043
04/03/2024,0.0171
04/02/2024,-0.0063
03/28/2024,0.0091
03/27/2024,-0.0028000000000000004
03/26/2024,0.0089
03/25/2024,-0.0059
03/22/2024,-0.0036
03/21/2024,0.0034999999999999996
03/20/2024,-0.0043
03/19/2024,0.006999999999999999
03/18/2024,0.0007000000000000001
03/15/2024,0.0166
03/14/2024,0.0015
03/13/2024,-0.0049
03/12/2024,0.0051
03/11/2024,-0.0022
03/08/2024,0.0017000000000000001
03/07/2024,0.0029
03/06/2024,0.013000000000000001
03/05/2024,-0.0027
03/04/2024,0.0015
03/01/2024,0.0034000000000000002
02/29/2024,-0.0042
02/28/2024,0.0037
02/27/2024,0.0043
02/26/2024,-0.0213
02/23/2024,0.0103
02/22/2024,0.0052
02/21/2024,0.008100000000000001
02/20/2024,0.001
02/19/2024,0.0106
02/16/2024,0.0017000000000000001
02/15/2024,-0.0062
02/14/2024,0.009399999999999999
02/13/2024,-0.0029
02/12/2024,0.0066
02/09/2024,-0.0042
02/08/2024,0.0159
02/07/2024,0.0092
02/06/2024,0.0025
02/05/2024,-0.008
02/02/2024,-0.0011
02/01/2024,-0.0060999999999999995
01/31/2024,-0.004
01/30/2024,0.004699999999999999
01/29/2024,0.0115
01/26/2024,0.0037
01/25/2024,0.0067
01/24/2024,0.006999999999999999
01/23/2024,0.0016
01/22/2024,0.0058
01/19/2024,0.0055000000000000005
01/18/2024,0.038599999999999995
01/17/2024,-0.0025
01/16/2024,-0.0001
01/15/2024,0.0089
01/12/2024,0.0008
01/11/2024,-0.0070999999999999995
01/10/2024,-0.018799999999999997
01/09/2024,-0.0103
01/08/2024,0.0070999999999999995
01/05/2024,-0.0006
01/04/2024,0.0023
01/03/2024,-0.010700000000000001
01/02/2024,-0.0024
12/29/2023,-0.0002
12/28/2023,-0.009399999999999999
12/27/2023,0.0053
12/22/2023,0.005
12/21/2023,-0.0034999999999999996
12/20/2023,0.0078000000000000005
12/19/2023,0.013300000000000001
12/18/2023,-0.002
12/15/2023,0.0069
12/14/2023,0.0125
12/13/2023,-0.003
12/12/2023,-0.0044
12/11/2023,0.0014000000000000002
12/08/2023,0.001
12/07/2023,-0.0084
12/06/2023,0.0124
12/05/2023,0.0040999999999999995
12/04/2023,-0.0040999999999999995
12/01/2023,0.0132
11/30/2023,0.009300000000000001
11/29/2023,0.0014000000000000002
11/28/2023,0.0105
11/27/2023,-0.0104
11/24/2023,-0.0021
11/23/2023,-0.0004
11/22/2023,0.012199999999999999
11/21/2023,-0.0060999999999999995
11/20/2023,0.0019
11/17/2023,0.0108
11/16/2023,-0.0147
11/15/2023,-0.001
11/14/2023,0.023
11/13/2023,0.0066
11/10/2023,-0.0091
11/09/2023,-0.0191
11/08/2023,0.004
11/07/2023,0.002
11/06/2023,-0.0078000000000000005
11/03/2023,0.0263
11/02/2023,0.0116
11/01/2023,0.0169
10/31/2023,0.0014000000000000002
10/30/2023,0.0018
10/27/2023,0.0046
10/26/2023,-0.0086
10/25/2023,-0.0058
10/24/2023,-0.0011
10/23/2023,0.0154
10/20/2023,-0.0258
10/19/2023,-0.0161
10/18/2023,-0.010700000000000001
10/17/2023,-0.0084
10/16/2023,0.0077
10/13/2023,-0.019299999999999998
10/12/2023,-0.0064
10/11/2023,-0.0037
10/10/2023,0.0352
10/09/2023,-0.0152
10/06/2023,0.0038
10/05/2023,0.0049
10/04/2023,-0.0006
10/03/2023,-0.0063
10/02/2023,-0.0163
09/29/2023,0.0024
09/28/2023,-0.0013
09/27/2023,0.0044
09/26/2023,0.0002
09/25/2023,-0.015700000000000002
09/22/2023,-0.005699999999999999
09/21/2023,-0.011000000000000001
09/20/2023,0.0085
09/19/2023,0.002
09/18/2023,-0.0166
09/15/2023,0.0013
09/14/2023,0.0225
09/13/2023,-0.006500000000000001
09/12/2023,-0.0118
09/11/2023,0.0033
09/08/2023,0.0024
09/07/2023,-0.0088
09/06/2023,-0.0104
09/05/2023,-0.0115
09/04/2023,-0.0043
09/01/2023,-0.0036
08/31/2023,0.0086
08/30/2023,-0.0046
08/29/2023,0.003
08/28/2023,0.0121
08/25/2023,0.0046
08/24/2023,-0.002
08/23/2023,0.008199999999999999
08/22/2023,0.0129
08/21/2023,-0.0040999999999999995
08/18/2023,-0.0105
08/17/2023,-0.013600000000000001
08/16/2023,0.0031
08/15/2023,-0.0045000000000000005
08/14/2023,0.0006
08/11/2023,-0.014499999999999999
08/10/2023,0.006
08/09/2023,-0.0126
08/08/2023,-0.0106
08/07/2023,0.0024
08/04/2023,0.0159
08/03/2023,-0.0006
08/02/2023,-0.0079
08/01/2023,-0.0043
07/31/2023,0.0033
07/28/2023,-0.0008
07/27/2023,0.0154
07/26/2023,0.0001
07/25/2023,0.0058
07/24/2023,-0.0085
07/21/2023,0.0033
07/20/2023,-0.0040999999999999995
07/19/2023,0.0077
07/18/2023,0.0043
07/17/2023,-0.0069
07/14/2023,0.0032
07/13/2023,0.004699999999999999
07/12/2023,0.011699999999999999
07/11/2023,0.0213
07/10/2023,0.0079
07/07/2023,0.0086
